CHEN Shuming, Outstanding young scholar in science and technology innovation, Electrical and Electronic Engineering
CHEN Songze, , Mechanics and Aerospace Engineering
CHEN Wei, Chair Professor, Biology
CHEN Weiqiang, Associate Professor, Physics
CHEN Wendong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
CHEN Xi, Research Assistant Professor, Mechanics and Aerospace Engineering
CHEN Xianqiang, Research Associate Scientist, Materials Science and Engineering
CHEN Xiaofei, Chinese Academy of Sciences Member, Earth and Space Sciences
CHEN Xiaolong, Assistant Professor, Electrical and Electronic Engineering
Chen Xihan, Assistant Professor, Mechanical and Energy Engineering
CHEN Xin, Associate Professor, Department of Statistics and Data Science
CHEN Xiu, Research Associate, College of Business
CHEN Yimao, Associate Professor, Mathematics
CHEN Yong, Research Assistant Professor, College of Engineering
CHEN Yonglong, Associate Professor, Biology
CHEN Yongshun, National Science Fund for Distinguished Young Scholars, Ocean Science and Engineering
CHEN Yu, Research Associate Professor, Mechanics and Aerospace Engineering
CHEN Yuanzhen, Associate Professor, Physics
CHEN Yuehong, Dean of the School of Humanities and Social Sciences (forthcoming) , Director of the Shuli Residential College
CHEN Zhongren, Chair Professor, Chemistry
Chen, Kejie, Assistant Professor
CHENG Chun, Research Scientist, Materials Science and Engineering
CHENG Jingde, Professor Emeritus, Saitama University 
CHENG Longzhen, Assistant Professor, Biology
CHENG Qingsha, Associate Professor, Electrical and Electronic Engineering
CHENG Ran, Associate Professor, Computer Science and Engineering
CHENG Xing, The Shenzhen Special Allowance Expert, Materials Science and Engineering
CHENG Yongfeng, Research Assistant Professor, Chemistry
CHOI Chi-Yeung Jimmy, Research Assistant Professor, Environmental Science and Engineering
Chris Song Heng TAN, Associate Professor, Chemistry
CUI Dehu, Teaching Associate Professor, School of Microelectronics
CUI Huanhuan, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
CUI Jianfang, Research Assistant Professor, Chemistry
CUI Jieshun, Research Associate Scientist, Materials Science and Engineering
CUI Shumo, Assistant Professor, International Center for Mathematics
Dafa CHEN, Research Associate Professor, Grubbs Institute
Jie Chen, Chair Professor, Social Science Center
Jiefei Chen, Associate Professor, Institute for Quanfum Science and Engineering
Jingjing Chen, Assistant researcher, Institute for Quanfum Science and Engineering
Kai CHEN, R&D Professor, School of Microelectronics
Kanglin Chen, Assistant Professor, Division of Information Systems & Management Engineering
LEI Chen, Research Associate Professor, School of Microelectronics
Longqing Cong, Associate Professor, Electrical and Electronic Engineering
Oscar Lung Wa CHUNG, Professor, Chemistry
Peng CHEN, Assistant Professor, School of Microelectronics
QUAN Chen, Assistant Professor, School of Microelectronics
Xi Chen, , Biology
Xiaofang CAI, Research Assistant Professor, College of Business
Xiaojing Chen, Assistant Professor, Biology
Yu Chu, English Instructor, Center for Language Education
Yuan Chen, Assistant Researcher, Institute for Quanfum Science and Engineering
ZHI Zhiming, Visiting Distinguished Professor (Long-Term), Chemistry
Zhihao CHEN, Research Assistant Professor, Earth and Space Sciences
ALLISON Dansie, English Instructor, Center for Language Education
DAHLSTEN Oscar, Associate Professor, Physics
DAI Jiansheng, Fellow of the Royal Academy of Engineering锛_REng锛, Mechanical and Energy Engineering
DAI Junfeng, Assistant Professor, Institute for Quanfum Science and Engineering
DENG Hui, Assistant Professor, Mechanical and Energy Engineering
DENG Mengyu, Research Associate Scientist, Materials Science and Engineering
DENG Weiwei, Professor, Mechanics and Aerospace Engineering
DENG Xingwang, US National Academy of Sciences member and American Association for Advancement of Science Fellow, Biology
DENG Yi, Teaching Professor, Biology
DENG Yonghong," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
DIDENKO Victor, Visiting Professor, Mathematics
DING Kemi, Assistant Professor, Mechanical and Energy Engineering
DING Keqi, Research Assistant Professor, Mechanics and Aerospace Engineering
DING Sunan, Research Professor, School of Microelectronics
DING Yulong, Research Assistant Professor, Computer Science and Engineering
DONG Jintang, Head of the Department of Human Cell Biology and Genetics, Department of Human Cell Biology and Genetics
DONG Lunhong, Teaching Professor, Sports Center
Dong Zhe, , Chemistry
Dong Li, Research Associate Professor, Earth and Space Sciences
Du Changzheng, Associate Professor, Department of Biochemistry
DU Erhu, Research Assistant Professor, Environmental Science and Engineering
DU Jiamu, chief scientist (youth) of national key research and development program of ministry of science and technology, Biology
DUAN Lele, Associate Professor, Chemistry
DUAN Yanhua, Research Assistant Professor, Environmental Science and Engineering
Guangren Duan, Member, Chinese Academy of Sciences (CAS)
Ke Deng, Assistant Researcher, Institute for Quanfum Science and Engineering
Rongrong DONG, English Instructor, Center for Language Education
Tao Dong, Professor, Biology
Xiaowei Deng, Assistant Researcher, Institute for Quanfum Science and Engineering
Xingli Dong, , Department of Pharmacology
Xiuhao Deng, Associate Researcher, Institute for Quanfum Science and Engineering
Ziwei Dai, Assistant Professor, Biology
Zongzheng Du, Assistant Researcher, Institute for Quanfum Science and Engineering
ALBERT Evans, English Instructor, Center for Language Education
范靖云, , Institute for Quanfum Science and Engineering
FAN Dian, Research Assistant Professor, Environmental Science and Engineering
FAN Jiantao, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
FAN Linfeng, Research Assistant Professor, Environmental Science and Engineering
FAN Lu, Assistant Professor, Ocean Science and Engineering
Fan Xiaoshuai, Assistant Professor, Division of Information Systems & Management Engineering
FANG Fuquan, Chinese Academy of Sciences Member, Mathematics
FANG Ju, Research Associate Scientist, Materials Science and Engineering
FANG Liang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
FANG Xiaofeng, Research Assistant Professor, College of Engineering
FANG Xinding, Associate Professor, Earth and Space Sciences
FENG Jun, The National Nature Science Fund for Distinguished Young Scholars, Materials Science and Engineering
FENG Lian, Associate Professor, Environmental Science and Engineering
FENG Weiqiang, Assistant Professor, Ocean Science and Engineering
FENG Xingya, Assistant Professor, Ocean Science and Engineering
FRED HAN, Associate Professor, School of System Design and Intelligent Manufacturing
Fu Baishan, , Institute for Quanfum Science and Engineering
FU Chenglong, Deputy Head of Department (Research), Mechanical and Energy Engineering
FU Lei, Research Assistant Professor, Earth and Space Sciences
Fu Yang, Associate Professor, School of Medicine
FU Yong, Assistant Professor, Ocean Science and Engineering
FU Yunhao, Lecturer, Mathematics
FU Zongmei, Professor, Environmental Science and Engineering
Thomas Fischer, Professor, School of Design
XIAOHU Fang, Assistant Professor, School of Microelectronics
Gabrielle Mary JING, Associate Professor (Teaching), Department of Statistics and Data Science
GAN Xiaohua, Chinese Academy of Engineering Member, Mechanics and Aerospace Engineering
Gao Huanqing, Research Assistant Professor, Department of Biochemistry
Gao Hui, Tenure Track Assistant Professor, Mathematics
GAO Yuan, Assistant Professor, School of Microelectronics
Gao Yulin, Associate Professor, Political Education and Research Center
Gao Ke, Associate Professor, Earth and Space Sciences
GE Dongliang, Professor, School of Innovation and Entrepreneurship
GE Qi, Associate professor, Mechanical and Energy Engineering
GIBSON Luke, Associate Professor, Environmental Science and Engineering
GONG Xin, Research Scientist, Biology
GONG Yi, Professor, Electrical and Electronic Engineering
GU Dongfeng, Chinese Academy of Sciences Member, School of Public Health and Emergency Management
GU Jiawen, Tenure Track Assisstant Professor, Mathematics
GU jun, Assistant Professor, Chemistry
GU Liyi, Assistant Professor, Division of Information Systems & Management Engineering
GU Meng," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
GU Mingqiang, Research Associate Professor, Physics
GU Qiangshuai, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
GUI Zhigang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
GUO Chuanfei," The selector of ""Peacock Project"" of Shenzhen(Class B)", Materials Science and Engineering
GUO Han, Research Associate Scientist, Materials Science and Engineering
GUO Hongwei, Ten-thousand talents program, Biology
GUO Liang, Assistant Professor, Mechanical and Energy Engineering
GUO Mingyang, Assistant Professor, Physics
Guo Qing, Assistant Professor, Chemistry
GUO Qiongyu, Assistant Professor, College of Engineering
GUO Xugang," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
GUO Yue, Associate Professor, Division of Information Systems & Management Engineering
GUO Zhe, Research Assistant Professor, Research Center for Higher Education
GUO Zhen, Assistant Professor, Ocean Science and Engineering
GUO Zhilin, Research Assistant Professor, Environmental Science and Engineering
GUO Zhiyong, Research Assistant Professor, Biomedical Engineering
Junxin GUO, Research Assistant Professor, Earth and Space Sciences
Sebastian Garcia-Saenz, Assistant Professor, Physics
Shu Guo, Assistant Researcher, Institute for Quanfum Science and Engineering
STAVROS Garoufalidis, Chair Professor, International Center for Mathematics
Weijie Guo, Research Assistant Professor, Institute for Quanfum Science and Engineering
Yuejin Guo, Research Professor, School of Microelectronics
Zhen GAO, , Electrical and Electronic Engineering
Ancheng HUANG, Associate Professor, Biology
Christiane M. Herr, Professor, School of Design
Hailiang Hu, Associate Professor, Department of Biochemistry
HAN Feng, Research Associate Professor, Environmental Science and Engineering
HAN Jingchun, Research Associate Professor, Grubbs Institute
HAN Peng, Assistant Professor, Earth and Space Sciences
HAN Song, Research Professor, School of Innovation and Entrepreneurship
HAN Wei, Research Professor, Research Center for Higher Education
HAO Qi, Associate Professor, Computer Science and Engineering
Hao Rui, Assistant Professor, Chemistry
HE Binbin, Associate professor, Mechanical and Energy Engineering
HE Chuan, Associate professor, Chemistry
HE Feng, professor, Chemistry
HE Hongtao, Associate Professor, Physics
HE Jiaqing, Vice Dean,College of Science; Head
HE Jin, Research Associate Scientist, Materials Science and Engineering
He Yunjiao, Research Assistant Professor, School of Medicine
HE Zhanxiang, Research Professor, Earth and Space Sciences
He Zhen, Research Associate Scientist, Materials Science and Engineering
HE Zhubing," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
HE Zilin, Lecturer of PE, Sports Center
HERTZ Jana, Professor, Mathematics
HO Chun-Yu (Jason), Associate Professor, Chemistry
HO Chun Loong, Assistant Professor, College of Engineering
HONG Wei, Deputy Head (Admin), Mechanics and Aerospace Engineering
HONG Xiaoping, Assistant Professor, School of System Design and Intelligent Manufacturing
Hong Xin, Assistant Professor, Department of Biochemistry
HOPWOOD Mark James, Associate Professor, Ocean Science and Engineering
HOU Chao, Associate Professor, Ocean Science and Engineering
HOU Chunhui, Associate Professor, Biology
HOU Shengtao, Professor, Biology
HOU Shengwei, Assistant Professor, Ocean Science and Engineering
HOU Siyu, Lecturer of PE, Sports Center
HU Chengzhi, Associate Professor, Mechanical and Energy Engineering
HU Daning, , Department of Finance
HU Qing, State Council Special Allowance Expert, Environmental Science and Engineering
HU Songbai, Research Assistant Professor, Physics
HU XiaoGang, Research Assistant Professor, Mechanical and Energy Engineering
HU Yong, Tenure Track Assistant Professor, Mathematics
HU Yuhui, Associate Professor, Department of Pharmacology
HUA Mengyuan, Assistant Professor, Electrical and Electronic Engineering
HUA Yongxia, Lecturer, Mathematics
HUANG Naizheng, Visiting Distinguished Professor (Long-Term), Chemistry
HUANG Hongda, Associate Professor, Biology
Huang Jie, , School of Public Health and Emergency Management
HUANG Jintao, Research Associate Scientist, Materials Science and Engineering
HUANG Kefu, Vice provost, minister of teaching department
HUANG Li, Associate Professor, Physics
HUANG Limin, Professor, Chemistry
HUANG Mingyuan, Associate Professor, Physics
HUANG Ruifang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
HUANG Shaochuang, Assistant Professor, Mathematics
HUANG Shidi, Associate Professor, Mechanics and Aerospace Engineering
HUANG Wei, Associate Professor, Biology
HUTCHINS, Andrew, Research Scientist
Jiashun HU, Assistant Professor, Earth and Space Sciences
Li He, Research Associate Professor, Electrical and Electronic Engineering
Liang Han, Research Assistant Professor, Grubbs Institute
Ling Hu, Assistant Researcher, Institute for Quanfum Science and Engineering
Peihao Huang, Assistant Researcher, Institute for Quanfum Science and Engineering
Qiaochu He, Associate Professor, Division of Information Systems & Management Engineering
Renke HE, Deputy Dean (part-time), School of Design
Sicong HE, Assistant Professor, Biomedical Engineering
Songbai HAN, Research Professor, Academy for Advanced Interdisciplinary Sciences
Wei Huang (Wayne), Chair Professor, Division of Information Systems & Management Engineering
Wen Huang, Associate Researcher, Institute for Quanfum Science and Engineering
Xingwang Han, Research Assistant Professor, Grubbs Institute
Xinxin Han, Assistant Professor, School of Public Health and Emergency Management
Yanqing Hu, , Department of Statistics and Data Science
Yu He, Researcher, Institute for Quanfum Science and Engineering
Yuxiu Hu, English Instructor, Center for Language Education
Zhihai He, Chair Professor, Electrical and Electronic Engineering
IRMER Ingrid, Tenure Track Assistant Professor, International Center for Mathematics
ISHIBUCHI Hisao, Chair Professor, Computer Science and Engineering
Binbin JIANG, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
JI Shengjian, Associate Professor, Biology
JI Tao, Music Teacher, Art Center
Ji yang, , School of Medicine
JIA Tiezheng, Assistant Professor, Chemistry
JIA Youwei, Assistant Professor, Electrical and Electronic Engineering
JIA zhenzhong, Assistant Professor, Mechanical and Energy Engineering
Jia  Ning, Assistant Professor, Department of Biochemistry
JIAN Linni, Outstanding young scholar in science and technology innovation, Electrical and Electronic Engineering
JIANG Hong Yan, , Chemistry
JIANG Jiping, Research Associate Professor, Environmental Science and Engineering
JIANG Kai, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
JIANG Liguang, Assistant Professor, College of Engineering
JIANG Miao, Research Assistant Professor, Mechanical and Energy Engineering
JIANG Shaolong, Research Assistant Professor, Physics
JIANG Wei, Professor, Chemistry
JIANG Xiaodong, Research Assistant Professor, Ocean Science and Engineering
JIANG Xingyu, Department Head, Biomedical Engineering
JIANG Xuejun, Associate Professor, Department of Statistics and Data Science
JIANG Youwei, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Jin Dayong, Chair professor, Biomedical Engineering
JIN Wenfei, Associate Professor, Biology
JING Bing-yi, Associate Department Chair (Research), Department of Statistics and Data Science
JING Zhicheng, Associate Professor, Earth and Space Sciences
Junming Jiang, , Electrical and Electronic Engineering
Li Jin, Acting Vice President, Department of Finance
Matthew Jellick, Assistant Director, Center for Language Education
Ming Yu Jin, Research Associate Professor, Grubbs Institute
Xiyun Jiao, Assistant Proffesor, Department of Statistics and Data Science
KE Wende, Associate Teaching Professor, Mechanical and Energy Engineering
KONG He, Assistant Professor, Mechanical and Energy Engineering
KUANG Xingxing, Associate Professor, Environmental Science and Engineering
KURGANOV Alexander, Professor, Mathematics
KWOK Hoi-Sing, Visiting Professor, Electrical and Electronic Engineering
KYAW Aung Ko Ko, Associate Professor, Electrical and Electronic Engineering
Thomas Kvan  Dean, School of Design, School of Design
WEILING KE, Professor, Division of Information Systems & Management Engineering
Benchuan Lin, Assistant Researcher, Institute for Quanfum Science and Engineering
Cai Liu, Research Assistant Professor, Institute for Quanfum Science and Engineering
Chao Liang, ___, Biology
Chong Li, Lecturer, Division of Information Systems & Management Engineering
Fan Liu, Assistant Professor, Electrical and Electronic Engineering
Guo-Ping Liu, Member of the Academy of Europe, IEEE Fellow
Jian LI, Research Assistant Professor, Biology
Jian Li, Associate Researcher, Institute for Quanfum Science and Engineering
Jingchun LI, Research Assistant Professor, Earth and Space Sciences
Jun Li, Associate Researcher, Institute for Quanfum Science and Engineering
Kwai Hei Li, Assistant Professor, School of Microelectronics
LAI Sha, Lecturer of PE, Sports Center
LAI Shufang, Assistant Professor, Department of Finance
Lan Meirong, Lecturer, Political Education and Research Center
LE Zheng, Professor, Political Education and Research Center
Lee HsuChew, Research Assistant Professor, Mechanics and Aerospace Engineering
LEI Yang, Assistant Professor, Environmental Science and Engineering
LEI Yang, Visiting Assistant Professor, Division of Information Systems & Management Engineering
LENG YuQuan, Research Assistant Professor, Mechanical and Energy Engineering
LI Bo, , Materials Science and Engineering
LI Caiheng, Associate Chair, Department of Mathematics
LI Changjian, Research Associate Scientist, Materials Science and Engineering
Li Chuangchuang, Professor, Chemistry
LI Dayan, Research Assistant Professor, College of Engineering
LI Fengliang, Chairperson, University Council
LI Guipeng, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LI Guixin, Professor, Materials Science and Engineering
LI Hailong, Recipient of NSFC Outstanding Young Scientist Grant, Environmental Science and Engineering
LI Hui, Chair Professor, Materials Science and Engineering
LI Jiangyu," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
LI Jianhui, Research Associate, Mechanics and Aerospace Engineering
LI Jingzhi, Associate Chair, Department of Mathematics
LI Juexian, Visiting Professor, Mathematics
Li Junguo, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI Junxue, Assistant Professor, Physics
LI Kai, Associate Professor, College of Engineering
LI Lan, Director of the Center for Language Competence and Language Recognition, Centre for Humanities
LI Lei, Research Scientist, Materials Science and Engineering
LI Miao, National Science Fund for Distinguished Young Scholars, Physics
LI Ming, Chair Professor, Research Center for Higher Education
LI Peipei, Assistant Professor, Department of Finance
LI Pengfei, Associate professor, Chemistry
LI Qi, Research Assistant Professor, Mechanics and Aerospace Engineering
LI Qian, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LI Ruixi, Assistant Professor, Biology
Li Run, Visiting Assistant Professor, Department of Finance
LI Sanbai, Research Associate Professor, Environmental Science and Engineering
LI Shaobo, Assistant Professor, Division of Information Systems & Management Engineering
LI Shilin, Research Assistant Professor, Ocean Science and Engineering
LI Shuai, Research Associate Professor (Associate Researcher), Academy for Advanced Interdisciplinary Sciences
LI Weiyi, Research Associate Professor, Environmental Science and Engineering
LI Wenyang, Research Assistant Professor, Biology
LI Xiaodong, Visiting Professor, Mechanics and Aerospace Engineering
LI Xin, Research Associate Professor, Chemistry
Li Xinggang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI Xinxin, Assistant Professor, Ocean Science and Engineering
LI Ya, Research Professor, Academy for Advanced Interdisciplinary Sciences
LI Yan, _╃____, Biology
Li Yanyan, Assistant Professor, Biology
LI Yi, Associate Professor, School of Microelectronics
LI Yiming, Research Professor, School of Innovation and Entrepreneurship
LI Yiming, Associate Professor, College of Engineering
LI Ying, Assistant Professor, Ocean Science and Engineering
LI Yuanyuan, Assistant Professor, Division of Information Systems & Management Engineering
LI Zeng, Associate Professor, Department of Statistics and Data Science
LI Zhan, Tenure Track Assistant Professor, Mathematics
LI Zhifang, Research Associate, Biomedical Engineering
LI Zhiyong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
Li Zhongfei, Chair Professor, Department of Finance
LI Zhongliang, Research Associate Professor, Academy for Advanced Interdisciplinary Sciences
LI Zhuozhao, ACM HPDC Best Paper Nominees, 2019; IEEEMASSService Award
LIANG Fengchao, Assistant Professor, School of Public Health and Emergency Management
LIANG Jiansheng,教授, Biology
LIANG Xiuyu, Assistant Professor, Environmental Science and Engineering
LIANG Yongye, Most Cited Chemical Engineering Researchers, Materials Science and Engineering
Liming Liu, Chair Professor, Division of Information Systems & Management Engineering
Lin Haibin, , Academy for Advanced Interdisciplinary Sciences
Lin Jian, Chair professor, Ocean Science and Engineering
LIN Junhao, Research Scientist, Physics
LIN Meng, Assistant Professor, Mechanical and Energy Engineering
LIN Yuanjing, Assistant Professor, School of Microelectronics
LIN Yufeng, Associate Professor, Earth and Space Sciences
Lisha Liu, English Instructor, Center for Language Education
LIU Bei, Research Assistant Professor, Environmental Science and Engineering
LIU Bochen, Associate Professor, Mathematics
LIU Chang, Associate Professor, Physics
LIU Chang, Research Associate Scientist, Academy for Advanced Interdisciplinary Sciences
LIU Chao, Assistant Professor, College of Engineering
LIU Chongxuan, Fellow of Geological Society of America, Environmental Science and Engineering
LIU ChongYang, Chair Professor, Chemistry
LIU Chuncheng, Research Associate Scientist, Materials Science and Engineering
LIU Chunhui, Associate Professor, Department of Finance
LIU Dong, Research Scientist, Biology
Liu Hanlin, Assistant Professor, Division of Information Systems & Management Engineering
LIU Hongmei, Research Associate Professor, Biomedical Engineering
LIU Hui, Chair Professor, Art Center
LIU Ji, Associate Professor, Mechanical and Energy Engineering
LIU Jialin, Assistant Professor, Computer Science and Engineering
LIU Jiang, Professor, Computer Science and Engineering
LIU Jianjun, Secretary, Sports Center
LIU Ju, Assistant professor, Mechanics and Aerospace Engineering
LIU Junguo, Associate Dean of School of Environmental Science and Engineering, Environmental Science and Engineering
LIU Junyang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LIU Kaijun, Deputy Head of Department, Earth and Space Sciences
LIU Ke, Australian Academy of Technology and Engineering Fellow, Chemistry
LIU Keting, Music Teacher, Art Center
Liu Leo Liu, Assistant Professor, Chemistry
LIU Peng, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LIU Qiang, Research Assistant Professor, Biomedical Engineering
Liu Qihang, Research Scientist, Physics
LIU Qingsong, National Science Fund for Distinguished Young Scholars, Ocean Science and Engineering
LIU Quan, Associate Professor, Department of Biochemistry
LIU Quanying, Assistant Professor, Biomedical Engineering
LIU SiCong, Research Assistant Professor, Mechanical and Energy Engineering
LIU Wei, Research Professor, Mechanical and Energy Engineering
LIU Weihan, Associate Professor, Department of Finance
LIU Weishu, Research Scientist, Materials Science and Engineering
Liu Xiaoyu, Research Assistant Professor, School of Medicine
LIU Xin, Research Associate Professor, Environmental Science and Engineering
LIU Xinyuan, Associate Professor, Chemistry
LIU Xu, Assistant Professor, Research Center for Higher Education
LIU Yang, Lecturer, Centre for Humanities
LIU Yanjun, Associate Professor, Electrical and Electronic Engineering
LIU Yepang, Assistant Professor, Computer Science and Engineering
LIU Yijun, Department Head, Mechanics and Aerospace Engineering
LIU Ying, Research Assistant Professor, Biomedical Engineering
LIU Ying, Research Assistant Professor, Physics
LIU Yu, Associate Professor, Mechanics and Aerospace Engineering
LIU Yungen, Research Associate Professor, Chemistry
LIU Zhaojun, Associate Professor, Electrical and Electronic Engineering
LIU Zhengbai, Research Professor, School of Innovation and Entrepreneurship
LIU Zhihui, Assistant Professor, Mathematics
LIU Zhiqiang, Assistant Professor, Ocean Science and Engineering
LONGYANG Lin, Assistant Professor, School of Microelectronics
LOU Fei, Research Associate Scientist, Materials Science and Engineering
LU Chun, Dean of General Affairs, Mechanics and Aerospace Engineering
LU Dawei, Associate Professor, Physics
LU Dong, Teaching Associate Professor, Mechanical and Energy Engineering
LU Dong, Adjunct Associate Professor, School of System Design and Intelligent Manufacturing
LU Haizhou, Chair Professor, Physics
LU Hongxing, Research Assistant Professor, Mechanical and Energy Engineering
LU Jie, Research Assistant Professor, College of Engineering
LU Jingxiong, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LU Wei, Associate Professor, Chemistry
LU Wenjun, Assistant Professor, Mechanical and Energy Engineering
LU Yang, Lecturer of PE, Sports Center
LU Zhouguang, Fellow of the Royal Society of Chemistry, Materials Science and Engineering
LUAN Hemi, Research Assistant Professor, School of Medicine
LUO Bingqing, Research Associate, School of Innovation and Entrepreneurship
LUO Dan, Vice Dept. Chair, Associate Professor
LUO Guangfu," The selector of ""Peacock Project"" of Shenzhen (Class B)", Materials Science and Engineering
LUO Qibang, Research Assistant Professor, Academy for Advanced Interdisciplinary Sciences
LUO Zhi, Associate Professor, Biomedical Engineering
Nanqin Liu, Assistant Professor, Department of Finance
Pai Liu, Research Assistant Professor, Electrical and Electronic Engineering
Qing Liu, English Instructor, Center for Language Education
Qinyuan Lei, Assistant Professor, School of Design
Shuping Liu, Research Assistant Professor, Institute for Quanfum Science and Engineering
Sirong Lu, Research Associate, Institute for Quanfum Science and Engineering
Song Liu, Associate Researcher, Institute for Quanfum Science and Engineering
Tao Lu, Assistant Professor, Division of Information Systems & Management Engineering
Tao Luo, Assistant Professor, School of Design
Wanqiu Li, assistant professor, Department of Pharmacology
Xiaoguang LIU, Professor, School of Microelectronics
XIAOLONG Liu, Assistant Professor, School of Microelectronics
Yao Li, Assistant Professor, Division of Information Systems & Management Engineering
Yao Lu, Assistant Researcher, Institute for Quanfum Science and Engineering
Yao-Wang Li, Research Assistant Professor, Biology
YI Lu, Research Associate Professor, School of Medicine
Yida LI, Assistant Professor, School of Microelectronics
Yuankun Luo, Assistant Professor, Division of Information Systems & Management Engineering
Zhengda Li, Assistant Researcher, Institute for Quanfum Science and Engineering
Zhengwei LI, Research Assistant Professor, Earth and Space Sciences
Zhiyun Lin, Professor, Electrical and Electronic Engineering
Zhongmin Liu, Assistant Professor, Biology
Zhuo Li, English Instructor, Center for Language Education
刘奂奂, Research Associate Professor, Electrical and Electronic Engineering
Arnaud Nicolas Mignan, Associate Professor, Earth and Space Sciences
Enza Migliore, Assistant Professor, School of Design
Jason Phipps Morgan, Chair professor, Ocean Science and Engineering
Jun Ma, Assistant Professor, Electrical and Electronic Engineering
MA dawei, Chinese Academy of Science and Engineering, Chemistry
MA Fuming, Visiting Professor, Mathematics
Ma Junjun, Lecturer, Political Education and Research Center
MA Xiaoguang, Assistant Professor, Physics
MA Yifang, Assistant Professor, Department of Statistics and Data Science
MA Yongfeng, , Mechanics and Aerospace Engineering
MA, Yuxin, CVM Journal Honorable Mention Award
MAO LinLin, Associate Professor, Chemistry
MAO Wei, Research Assistant Professor, School of Microelectronics
MATTEO LULLI, Research Assistant Professor, Mechanics and Aerospace Engineering
Max Q.-H. Meng, Fellow of the Canadian Academy of Engineering, Electrical and Electronic Engineering
